log.prior	log.likelihood	log.likelihood.test.set
-1.501502839163152930e+04 -1.613084046780728022e+04 -2.611003450171455825e+03
-1.499496188367236573e+04 -1.613107667985772969e+04 -2.609339140538666925e+03
-1.497187573644222721e+04 -1.613562356392929541e+04 -2.609702810894389131e+03
-1.497207937565639986e+04 -1.614269663104175197e+04 -2.610570309743443431e+03
-1.498105219209738789e+04 -1.613735491269109662e+04 -2.610667091381680621e+03
-1.501246075281959565e+04 -1.613891010674078098e+04 -2.608473487379301332e+03
-1.498506165566799427e+04 -1.613364364161425874e+04 -2.605710495126482328e+03
-1.497688237334747464e+04 -1.613612607998278872e+04 -2.600583746275110116e+03
-1.499506410379632689e+04 -1.614077784131732551e+04 -2.602445874827543776e+03
-1.496969986767550472e+04 -1.615374592276429212e+04 -2.608275253624098241e+03
-1.498670828945538415e+04 -1.615613260721784172e+04 -2.608005666583965194e+03
-1.497360139818403150e+04 -1.614547364504348297e+04 -2.612510627468472649e+03
-1.498530411766296311e+04 -1.614937384047765408e+04 -2.612834276483687972e+03
-1.497761185700223723e+04 -1.615104405158390546e+04 -2.612997751353590502e+03
-1.498829868869740312e+04 -1.613857162238715318e+04 -2.608289425017761914e+03
-1.497665022805365152e+04 -1.613073943224576215e+04 -2.609108292770820754e+03
-1.498855931802805571e+04 -1.613958940399357562e+04 -2.611582318643615963e+03
-1.502379875088007611e+04 -1.614138247755372868e+04 -2.610105963340220569e+03
-1.500547075714520361e+04 -1.614271996609983762e+04 -2.609681609213182128e+03
-1.502067486681827722e+04 -1.613764787880485892e+04 -2.609197608692256836e+03
-1.502899894893928467e+04 -1.614755640789874451e+04 -2.609800291024979742e+03
-1.500254214688301181e+04 -1.614103838963815906e+04 -2.609396051449971310e+03
-1.502342018162265958e+04 -1.614232916989800651e+04 -2.614739697575575065e+03
-1.499763725266761503e+04 -1.614510606953659408e+04 -2.610918402513373621e+03
-1.499857416046584331e+04 -1.613776596275243355e+04 -2.606200447751380580e+03
-1.500931477828065908e+04 -1.613812231057197278e+04 -2.605167802568607840e+03
-1.501060546146502384e+04 -1.614903132687516336e+04 -2.602200238757583520e+03
-1.503125249339267975e+04 -1.614925778296882163e+04 -2.601695503300856217e+03
-1.504277137721588770e+04 -1.613840939853698910e+04 -2.598426656714236287e+03
-1.506102985194814573e+04 -1.614689758929807977e+04 -2.601717492553315878e+03
-1.505620242380885247e+04 -1.613740729188128898e+04 -2.597190925322383464e+03
