time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
8.764270858622431604e+01 9.925422431351356067e+01 9.581924753543006545e+01 1.155145977103738062e+02 1.167780696432483722e+02 1.097163025592628571e+02 1.099215125437208940e+02 9.533390041390062208e+01 1.004164482801364215e+02 1.075296820106105855e+02
8.867435030206587498e+01 9.082122951143502121e+01 9.652087273591804717e+01 1.154463024654924084e+02 1.082635301719556651e+02 9.994318539815461122e+01 9.883994914888961603e+01 1.111653582701411551e+02 9.972444010164618078e+01 1.142788496895061030e+02
9.323883594082107606e+01 1.068399168992418851e+02 8.000176540041573503e+01 1.106687696997736339e+02 1.011649796718477887e+02 9.556877743303542161e+01 1.079633261218386764e+02 9.773348973399217243e+01 8.631531176275865391e+01 9.271428656392066614e+01
9.539342644280387162e+01 1.107699213780811505e+02 8.901731727490016510e+01 1.197137177002844339e+02 1.041434430966053384e+02 9.954961524133481987e+01 8.836518358429495379e+01 9.621851596823800890e+01 8.672151792512298130e+01 8.913792946079800572e+01
9.724545765986056267e+01 8.414817185223310503e+01 1.110463510878891213e+02 1.208725915822590622e+02 1.012883097993188812e+02 1.018441956280241243e+02 1.015774691249910688e+02 1.023428926656106910e+02 9.134370268429690043e+01 9.513612083521999807e+01
7.982369357614831529e+01 1.071877575915541314e+02 1.148561158643667142e+02 9.962860837972714023e+01 1.142245274640393262e+02 1.028713162886448487e+02 1.121111864236234226e+02 1.094628306762902668e+02 9.864621309050892251e+01 9.458462128616827158e+01
1.112394564350819337e+02 1.077257464876395403e+02 1.072215015567547596e+02 1.020759141626218565e+02 1.088465047045586829e+02 1.139576324848838453e+02 8.376925630470688589e+01 9.941262837848971401e+01 9.741039359833528977e+01 9.291720644080938030e+01
1.054438689008000836e+02 8.825123080394160979e+01 9.527993684121442186e+01 8.592552855935453238e+01 9.114921978755394605e+01 1.172629039851791788e+02 9.247608544704564792e+01 1.282976340654850560e+02 1.032112951303552393e+02 1.097116527108878330e+02
8.838460455955303985e+01 1.091639501987525591e+02 1.156321317798092991e+02 1.185183898945112446e+02 9.308948140955709505e+01 1.112861656907911510e+02 1.031834083238515376e+02 1.098032766519074102e+02 9.114818071183091774e+01 1.019415109944834228e+02
1.016985576149255621e+02 1.021499643833263207e+02 1.177580831957358356e+02 1.181964291514285321e+02 1.194515860166690118e+02 1.083257401244042768e+02 1.110131213943300992e+02 1.071568860306302895e+02 8.747755374559365293e+01 9.206059532579399729e+01
8.643345094505649229e+01 9.205476055068203323e+01 1.133036288998173120e+02 1.003088942258715974e+02 1.029567382389582519e+02 9.249805158248076964e+01 1.107334990022749679e+02 1.012200957264860932e+02 9.159347350352516060e+01 9.898480876499161241e+01
8.272973543081198500e+01 9.834501534777882625e+01 8.485519488417918410e+01 1.032811358409694549e+02 9.490857075648327168e+01 1.074384604010383555e+02 1.004240897181305456e+02 9.921019072099676350e+01 1.130108816755097934e+02 9.847282033114186106e+01
8.769139841171228511e+01 1.113751070801791911e+02 9.173241562236309221e+01 1.061085952576815430e+02 1.177815371087062033e+02 1.099567394950656478e+02 9.965318666920464352e+01 8.972083120780489196e+01 1.033253241461435010e+02 1.059018030175515719e+02
8.938159926100304631e+01 1.093054932809440061e+02 9.701713102675887512e+01 8.868693518968470357e+01 1.169265083451114577e+02 8.746189152340154749e+01 9.477469757858793287e+01 9.419556424578506437e+01 9.976702271492109730e+01 9.180638478415033887e+01
